w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
shop,ʃɔp,"boutique, magasin","tienda, hacerlascompras","बाज़ार करना, I'm shopping for Christmas presents.",,買い物をする,"käsityö, metallityö, puutyö, kauppa, myymälä, paja, tehdas, työpaja",пазарувам,"handle, shoppe",,,prodejna,siop,,siopa,"dućan, kupovati, kupovati po dućanima, lokal, prodavaonica, radionica, radnja, trgovina","munkahely, mûhely, kereskedés, üzlet, iroda, színházi szerzôdés, hivatal, lakás, ügyes-bajos dolgok, színház, bolt, üzleti dolgok, részvények tôzsdei bevezetôi",negozio,,"parduotuvė, krautuvė, dirbtuvė, cechas, pirkti","winkel, zaak, boodschappen doen, winkelen",,"loja, venda",,магазин,"дућан, радња","affär, butik, handelsbod, shoppa",,"(ped ping) dükkân, mağaza, atelye, fabrika, imalâthane, iş, çarşıya gitmek, alışverişe çıkmak, for ile aramak, (ing), (argo.) suç ortaklarını ele vermek. shop around alışveriş için fikir edinmek. shop steward işçi temsilcisi. shop talk iş konuşması. set up shop dükkân açmak, yeni bir iş kurmak. talk shop iş konusunda konuşmak.",winkel
shopping,/ˈʃɑpɪŋ/,,,,,"買い物, ショッピング","ostaminen, osteleminen, ostelu, ostoksilla käyminen, shoppaileminen, shoppailu, ostos","паза́р, пазару́ване","matvarer, varer",,,nákupní,,,,"kupovanje, kupovina",bevásárlás,,,,,,,,,,affärsgata,,"çarşıya çıkma, alışveriş etme. shopping center alışveriş merkezi, büyük çarşı. shopping district çarşı. shopping list alışveriş listesi.",
short,ʃɔːt,court,miope,"छोटा, They had to walk only a short distance to reach the station.",,短絡する,"lyhennys, lyhyt muoto, epätyydyttävä, puutteellinen, vajaa, vähempi, lyhyt, puutteellinen, vajaa, vähä, vähäinen, vähän, niukka, pian, pikainen, muro, pelkkä, raaka","съкрате́но, къс, кра́тък, кра́тък, ни́сък",kort,,,křehký,cwta,,,"kratak, kratke, kratke hlače, kratki spoj, krt, loman, malen, nedovoljan, nizak, oskudan, plah, prgav, sažet, slab, trošan","törékeny, nem teljes, tömör, rövid távú, fedezetlen ügylet, rövidítés, rövid lejáratra, ropogós, rideg, omlós, szûkített, rövidzárlat, hiányos, szapora, rövidfilm, lobbanékony, kevesebb, rövid összefoglalás, nem elegendô, rövidített becenév, lerövidített, gyors, rövid, rövid hangzó, szétmálló, besszjátékos, fedezet nélkül, kisfilm, rövid szótag, rövidített név, kontreminôr, kurta, türelmetlen, röviden, rövid tartalmú, kurta-furcsa, innen vmin, kimért, kurtán, rövid lövés, hirtelen, rövid lejáratú, gyorsan, porhanyós, kifogyva, alacsony, fedezet nélküli",corto,brevis,"trumpas, striukas, trumpalaikis, nepilnas, nepakankamas, stokojantis, žemo ūgio (apie žmogų), trumpai, staiga, greit, (pl.) kelnaitės, glaudės, (pl.) stiprus alkoholinis gėrimas, (el.)  trumpas sujungimas, šiurkštus, trumpas ir atžarus (apie atsakymą), (kul.) trapus, trupus, (šnek.) stiprus (apie gėrimą)","kort, kortstondig",,"curto, breve",,,,novell,,"kısa, kısa boylu, bodur, ters ve kısa (cevap), eksik, nakıs, dar, ihtiyacı karşılamayan, satılırken elde bulunmayan (mal), gevrek, çabuk kırılan, çok yağIı, birdenbire, elde bulunmayan malı satmak üzere, tersçe, kısa şey, eksiklik, uzun sözun kısası, (elek) kontak, kısa reklam ve miki filmi, (çoğ.) kırıntı, düşük kaliteli mal, (çoğ.) kısa pantolon, şort, (dilb.) kısa hece. short and sweet kısa ve yerinde. short circuit (elek) kısa devre, (tıb.) bağırsağın bir parçasını keserek kısaltma ameliyatı. short commons gıda eksikliği. short cut kestirme yol. short of -dan başka. short order çabuk ve kolay hazırlanabilen yemek. short sale (tic.) açıktan satış. short story kısa hikaye. short wave kısa dalga. at short notice hazırlanmak için az zaman bırakan (emir) be short of eksik olmak, yetersiz olmak, yetmemek az kalmak. come short eksik gelmek, yetişmemek, erişememek. cut short birden kesmek, kısa kesmek (söz veya yazı) fall short erişememek, ulaşamamak, yetmemek. for short kısaca. in short kısaca, muhtasar olarak, kısacası, velhasıl. in short order hemen, derhal. make short work of hakkından gelmek. run short malzemesi tükenmek, kâfi gelmemek, kıtlaşmak. the long and the short of it uzun sözün kısası, hulâsa. shortly  yakında, kısaca, kabaca, terslikle. shortness  kısalık, noksanlık, yetmeyiş.",kort
shortly,/ʃɔːɹtli/,,,"अविलम्ब, He arrieved there shortly., रुखाई से, Go away, said Rama shortly.",,,"nopeasti, pikaisesti, töykeästi, lyhyesti, kohta, pian","кратко, сбито, накратко, скоро",,,,krátce,,,,"oštro, suho, ukratko, uskoro","nemsokára, röviden, hamarosan",,,,,,,,,,,,,
shot,/ʃɑt/,,,"मार, Two of her shots hit the target., शाट, फ़ोटो, चित्र, The photographer took a beautiful shot of the sight., कोशिश, Have a shot at this problem., निशानेबाज़, Willian Tell was a very good shot.",,"砲丸, ショット, 発射, 散弾, 霰弾","poikki, puhki, väsynyt, kulunut","износен, изпъстрен",hagl,skud,,koule,saethiad,,,"dosjetka, gađati, hitac, izbačen, metak, nagađanje, pokušaj, pucati, sačma, strijelac, tane, udarac, šut","golyó, színjátszó, puskagolyó, dobás, lövész, lövô, hajítás, egy korty pálinka, rúgás, súlygolyó, egy kupica pálinka, filmfelvétel, lövedék, injekció, lôtávolság, fellövés, dobótávolság, lövés, színét változtató, más színnel átszôtt, próbálkozás, ágyúgolyó, kísérlet, átszôtt",,,"šūvis, (džn. sport.) metimas, smūgis, (sport.) rutulys, (kar.) kulka, šratas, sviedinys, šaulys, (momentinė) nuotrauka, (kin., tel.) kadras, kandi/kritiška pastaba, (raketos, erdvėlaivio ir pan.) paleidimas, (spec.) užtaisas, sprogimas, užtaisyti (šautuvą)",,,,,,,,,"yanardöner, şanjan (kumaş), (argo) kafası dumanlı, (k.dili) mahvolmuş, kullanılmaz hale gelmiş. shot to pieces tamamen bozulmuş, darmadağın olmuş.",
should,shud,"devoir, être obligé",tenerque,,,べき,"pitäisi, sattua",,"burde, skulle",,,měl by,,,,"bi se trebala, bi trebao, bih, bismo, ja bih, treba, treba da, trebalo bi",,,,,"horen, behoren, dienen, moeten, zullen",,"dever, ter a obrigação, ter de, ter que",,должен,,"böra, må, måste",,"(bak.) shall, a) gereklilik. You should visit your sick friend. Hasta arkadaşını ziyaret etmen gerekir b) şarta baglılık: If he should come.. Eğer gelirse c) şaşkınlık. : Who should drop in but.. Kim geldi bil bakalım...başka kim olabilir? d) ümit: I should be back by noon. Öğlene kadar dönebileceğimi ümit ederim e) ABD, (k. dili), istihza: (olumlu cümle içinde olumsuz anlam belirtir) He got a heavy fine, but with his money he should worry. Ağır para cezasına çarptırıldı, ama ona vız gelir.","behoor, behoort, moet"
shoulder,ʃouldər,"accotement, épaule","lisera, hombro","कन्धा, He had a injury in his shoulder., कमीज़ का कँधा, The shoulders of his newly bought shirt was black in color.",,肩,"piennar, tienreuna, hartia, olkapää, olka, harteet, hartiat, hartia, olkapää","банкет, издатина, фланец, плешка, ра́мо, рамо, плешка",skulder,,,úbočí,ysgwydd,,,"gurati se, ivica, izbočina, leđa, lopatica, naslon, natovariti, obod, poduprijeti, rame, ramenu, rub, uzeti na sebe","töltéspadka, párkány, támfelület, támasz, hegynyúlvány, betûtest felsô lapja, lapocka, támasztás, támaszpillér, útpadka, kiugró rész, elôhegység, púp, árbocváll, válltámasz, perem, alátámasztás, ruhaakasztó, nyél pereme, támoszlop, elôreugró bérc, csaphajlat, osztópárkány, fogó pereme, kabátakasztó, felfekvési felület, tengelyváll, csapváll, boltváll, váll, gyám, padka, bevágási padka, domborulat, tengelygyûrû, vállfa, hajlat, dombnyúlvány",spalla,,"petys, stumdytis (pečiais), prasisprausti, prisiimti atsakomybę","berm, schouder",,"ombro, acostamento, berma",,,плеће,"axel, skuldra",,")omuz, destek olan şey, omuza benzer çıkıntı, kürek eti, dağ yamacı, sırt, (ask.) tabya siperinin koltuğu, banket, omuzlamak, omuz vurmak, sırtına almak, sorumluluğu yüklenmek. Shoulder arms ! Silâh omuza ! shoulder belt omuz kayışı, hamail, shoulder blade kürek kemiği. shoulder strap apolet, omuz nişanı. shoulder to shoulder omuz omuza, birlikte, elbirliğiyle.broad shoulders geniş omuzlar, sorumluluğu yüklenme hassası. cry on one' shoulder merhamet dilenmek, sığınmak. put one' shoulder to the wheel büyük gayret sarfetmek, gayret sarfederek yardım etmek. soft shoulders düşük banket. square shoulders kalkık","berm, skouer"
shout,ʃaut,"crier, cri","gritar, grito","चिल्लाहट, The teacher asked the class not to shout.",,叫ぶ,huutaa,вик,rop,,,zavolat,gweiddi,,,"dovikivati, dozivati, klicanje, klicati, povik, povikala, usklik, vika, vikati, zvati","kiabálás, kiáltás","gridare, grido",boare,"šauksmas, rėksmas, (ypač austral.) (šnek.) (gėrimo) užsakymas, šaukti, rėkti, (austral.) užsakyti, vaišinti (gėrimu)","gieren, joelen, roepen, schreeuwen, kreet, roep, schreeuw",,"berrar, bradar, gritar, grito",,,,"hojta, skria, skrika, skråla, skri, skrik",,"bağırmak, çağırmak, haykırmak, yaygara koparmak, bağırma, feryat, çığlık, velvele. shout at bir kimsenin yüzüne karşı bağırmak, bağırarak konuşmak. shout down bağırarak bir kimsenin sesini bastırmak. shout out yüksek sesle bağırmak.",skreeu
show,ʃou,"manifester, indiquer, désigner, montrer, marquer, spectacle",escaparate,"प्रदर्शन, Robert is the host of the cultural show., प्रदर्शनी, The handicrafts of different states are on show at the exhibition., दिखावा, The sympathy given by the leaders to the injured was nothing but show.",,"見せる, 示す, 表す, 示す","näkyä, näyttäytyä, pilkistää, näyttää, esitellä, opastaa, saattaa, näkyä, näyttää, osoittaa","виждам се, пока́жа, пока́звам, показвам","program, show",,,prokazovat,sioe,,,"biti vidljiv, iskušavanje, izgled, izlaganje, izlagati, izložba, parada, pokazati, pokazuje, pokaži, pratiti, predstava, prikazati, prikazivanje, priredba, prividnost, prizor, sjaj, ukazati, zgoda","pompa, elôadás, siker, látszat, látványosság, felmutatás, kiállítás, bemutatás, vállalat, üzlet, parádé",mostrare,monstrare,"(pa)rodymas, išorinė išvaizda, paroda, vaizdas, spektaklis, (pa)rodyti, demonstruoti","laten blĳken, manifesteren, laten zien, tentoonspreiden, tonen, vertonen, wĳzen, uitwĳzen, aanduiden, aangeven, een teken geven, merken, kenmerken, tekenen, kĳkspel, schouwspel, spektakel, vertoning",,"declarar, manifestar, apontar, assinalar, mostrar, espetáculo","a arăta, a expune, spectacol",,,"uppvisa, skådespel, spektakel",,"(eski) veya (Ing) shew (şo)   göstermek, arzetmek, göz önüne koymak, ihsan etmek, izhar etmek, meydana çıkarmak, içeriye götürmek, anlatmak, ispat etmek, söylemek, öğretmek, görünmek, gözükmek, kendini göstermek, yarışmaya katılmak, yarışta üçüncü gelmek, gösteriş, görünüş, temaşa, temsil, sergi, gösteri, numayiş, taklit, saltanat, debdebe, azamet, yarışta üçüncü yer, belirti, (k. dili) fırsat, şans. show bill büyük harflerle yazılmış duvar afişi. show biz ABD, (argo.) tiyatroculuk. show forth açıklamak, izah etmek, beyan etmek. show of hands onaylayan ellerin havaya kalkması. show off gösteriş yapmak, göstermek. show one' hand kozunu meydana koymak, (iskambil) elini açmak. show one the door bir kimseye kapıyı göstermek, kapı dışarı etmek, kovmak. show room sergi salonu. show the teeth dişlerini göstermek, şiddetle karşı koymak. show up beklenilen yere gelmek, meydana çıkmak. show window vitrin, dükkân camekânı. for show gösteriş olsun diye.","venster, winkelvenster"
shower,ʃauər,douche,ducha,"वर्षा, There was a heavy shower of rain in the afternoon., फुहारा, The gardener was watering the plants by a showering cane.",,"俄雨, シャワー, 雨下","käydä suihkussa, ottaa suihku, kylvää, suihkuttaa","преваляване, душ",dusj,,,sprška,cawodi,,,"kiša, liti, obasipati, pljusak, pljuštati, pokazivač, potok, tuš","zuhany, bemutató, záporesô, vendégség nászajándékok átadására, bôség, zápor, zivatar, meteorraj, kiállító",doccia,,"liūtis, dušas, kruša, gausybė, rodytojas, lyti, praustis po dušu, dosniai duoti, dosniai dovanoti","douchen, een douche nemen, douche, stortbad",,"ducha, chuveiro",,,,"duscha, dusch",,"sağanak, sağanağa benzer herhangi bir şey, duş, bol verilen şey, (A.B.D) geline veya bebeğe hediyelerin verildiği parti, yağdırmak, sağanak halinde yağdırmak veya yağmak. shower bath duş. heavy shower sağanak. Iight (slight) shower hafif yağmur. take a shower duş almak. showery  yağmurlu.",stort
show off,ʃouɔf,,,"दिखावा~करना, She was showing off her new husband at the party.",,"ひけらかす, 見えをはる, 見せようとする","brassailla, briljeerata, kehuskella, leveillä, mahtailla, näyttää",,,,,zdůraznit,,,,,,,,,"pronken, haarkloven",,"empavonar-se, pavonear-se",,,,,,,
show round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
show up,,,,,,現れる,"ilmestyä (paikalle), näyttää","идвам, показвам се",,,,dostavovat se,,,,,,,,,,,,,,,,,,
shut,ʃʌt,fermer,"cerrar, cerrado","बन्द करना, When you go out shut the door.",,"閉まる, 閉める, 閉じる",sulkea,"затварям се, затва́рям",,,,uzavření,,,,"potmuo, spriječiti ulaz, umukni, zabraniti, zaključan, zaklopiti, zatvoren, zatvoriti, zatvoriti se","zárt, csukott","chiudere, chiuso",claudere,"uždaryti, uždengti, užsidaryti, uždarytas, užrakintas","dichtdoen, dichtmaken, sluiten, toedoen, dicht, gesloten, toe",,"fechado, fechar",,"закрывать, закрыть",,,,"kapalı, kapanmış, kapama, kapama vakti, madenlerin kaynayıp birleştiği yer, kaynak yeri.","afsit, afskakel"
shut down,,,,,,シャットダウン,"sulkea, sammuttaa","закривам, затварям, изключвам, спирам",,,,zastavit,,,,"isključiti, obustaviti, prekinuti",,,,,,,,"a opri, oprire",,,,,,
shut in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shut out,,,,,,,,,,,,nevpustit dovnitř,,,,,,,,,,,,,,,,,,
shut up,ʃʌtʌp,serrer,,,,"うそ, 封鎖, 監禁, うるさい, お静かに, お黙り, だまれ, 静かにする, 封印, たたむ, 黙らせる","höpö-höpö, älä sano!, lukita, sulkea, sulkea, teljetä, vangita, turpa kiinni, hiljaa, ole hiljaa, olkaa hiljaa, suu tukkoon, vaieta, hiljetä, sulkea suunsa, laittaa talteen, lopettaa (toiminta), sulkea, hiljentää, sulkea suu, tehdä hiljaiseksi, tukkia suu, vaientaa","затварям, млъкни!, млъквам, карам да замълчи","låse, låse av, stenge, låse inn, hold kjeft, hold munn, hold tåta, kjeft, kjeften, holde kjeft, ti stille, avslutte, det mener du ikke",,,ztichni,,,,"ušutkati, šuti",,,,,"insluiten, opsluiten, wegbergen, wegsluiten",,,,,,,,,
shy,ʃiː,timide,,"शर्मीला, The child is not at all shy with adults., भड़कैल, He is just shy by nature., कम, We are still two players shy (of a full team).",,"慎重, 弱気, 恥ずかしい, 人見知りする, 内気, 寡黙, 引っ込み思案, 恥ずかしがり屋","heittää, kavahtaa, säikkyä","предпазлив, плах, боязли́в, свенли́в, срамежли́в, стесни́телен, недостигащ",sjenert,,,bázlivý,rhusio,,,"hitac, nedovoljan, neodlučan, nepovjerljiv, odskočiti, plašljiv, poplašiti s, povučen, stidljiv, trgnuti se","dobás, szemérmes, bátortalan, kitörés, tartózkodó, megbokrosodás, szégyenlôs, kísérlet, félénk, hajítás, ijedôs",timido,,"drovus, bailus, baikštumas","bedeesd, bevangen, blo, timide, verlegen, eenkennig",,"acanhado, vergonhoso",,,,"blyg, brydd, förlägen",,"korkak, ürkek, çekingen, utangaç, mahcup, ""of"" ile tedbirli, ihtiyatlı, dikkatli, az ürün veren (ağaç), (k.dili), ""on"" ile eksik, noksan, az. shyly  çekingenlikle, çekinerek. shyness  çekingenlik, mahcubiyet.",bedees
sick,sik,"malade, malsain",,"वमन करना, The baby sicked up a little milk.",,ヤバい,sairaat,"бо́лен, болен",syke,,,chorý,,,breoite,"bolesna, bolestan, iznuren, koji osjeća mučninu, nemoćan, slab, umoran","dühös, betegek, beteg, levert",malato,"æger, ægrotus","nesveikas, jaučiąs šleikštulį, nuvargęs, atsibodęs","naar, ziek",,"doente, enfermo",,больной,,"dålig, sjuk",,"hasta, keyifsiz, bulantılı, midesi bulanan, bezgin, hasret çeken, özleyen, ""of"" ile tiksinmiş, usanmış, bıkmış, bozuk, hastalıklı, mariz, hastaya mahsus, meşum, iğrenç. sick headache (tıb.) mide bulantısı ile gelen şiddetli baş ağrısı, yarım baş ağrısı. sick joke iğrenç ve ürpertici şaka. sick leave hastalık izni, tebdili hava.",siek
side,said,"auxiliaire, côté, flanc, parti",patillas,"का पक्ष लेना, का समर्थन करना, I always sides with my mother against my father.",,"辺, 境界線, 側面, 側, 側, 側面, 側, 方向, 面","sivu, laita, sivu, tahko, puoli, puoli, kylki, kantti, puoli, kylki, sivu, puoli","страна́, страна","side, kant, side, lag",,,nadutost,ochr,,taobh,"biti pristran, bok, bočni, bočnim, naduvenost, obala, obronak, oholost, padina, predio, rub, sporedni, strana, strane, strani, stranka, stranu, uobraženost, usputni, zid","állásfoglalás, oldallap, lejtô, álláspont, szegély, pöffeszkedés, vájatvég, származási ág, fejtéshomlok, mellék-, szárny, fals, lap, szárnya vminek, széle vminek, oldal, oldalsó, rész, osztály, oldal-, hegyoldal, részleg, felvágás, tábor, párt, hencegés, fennhéjazás, másodrendû, oldalfal, mezôny, mellékes, tagozat, leszármazási ág, rokonsági ág, burkolófal, nagyhangúság, csapat, elbizakodottság","fianco, lato, partito","costa, latus","pusė, šonas, kraštas, (kalno)šlaitas","bĳ‐, minder belangrĳk, ver, zĳ‐, zĳdelings, flank, kant, zĳ, zĳde, zĳkant, partĳ, stem",,"acessório, apenso, lateral, banda, costado, flanco, lado, bandeira, facção, partida, partido",,"боковой, бок",,"avtagsväg, avväg",,"(gen.) ""with"" ile taraf tutmak, desteklemek.",kant
sideways,/ˈsaɪdweɪz/,,,,,,sivuttainen,,,,,boční,,,,"bočno, postrance","oldalvást, oldalról, oldalt",,,,,,,,,,,,,
sight,sait,"air, allure, apparence, aspect, spectacle, vue","aspecto, vista","दृष्टि, He lost his sight in an accident., दृश्य, After ten days at sea we had our first sight of land., निगाह, Radha's father wants to marry her daughter but there was no one in sight., नज़ारा, The flowers are a lovely sight in spring., लक्षक, The sight of a rifle have something in one's sights.",,"サイト, 照準具, 照準器, 情景, 見物","saada näkyviinsä, tähdätä, nähdä","мерник, вид, и́зглед, гледка",,,,pamětihodnost,,,,"ciljati, doseg oka, izgled, nanišaniti, nišan, nišaniti, observirati nebesko tijelo, opaziti, pogled, prizor, vid, vidik, vidjeti, vidokrug, vizirati","látvány, nézôrés, nézet, látómezô, nézôlyuk, célgömb, kilátás, látnivaló, vélemény, irányzás, nevezetesség, irányzórés, megtekintés, látóképesség, célzás, mérési jegy, nagy mennyiség, jó száz lépésnyi távolság, látótávolság, szemlencse nyílása, látás, tömeg, szempont, nézôke, tekintet, irányzék, célzókészülék, irányítás, feltevés","apparenza, aria, aspetto, vista","aspectamen, facies",,"aanblik, aanzien, air, schĳn, uiterlĳk, verschĳning, voorkomen, richtmiddel, vizier, zoeker, zicht, gezicht, gezichtsvermogen",,"aparência, aspecto, semblante, alça",,,,"anblick, anseende, vy",,"görme, gözlem, müşahede, muayene, görüş kuvveti, görülen şey, manzara, görülecek şey, göz erimi, inceleme fırsatı, fikir, nişangah, (leh.) çok miktar, (k. dili) çirkin bir şey. (sig.)ht draft ibrazında tediye olunacak poliçe. (sig.)ht unseen görmeden(satın almak) a (sig.)ht for sore eyes bir içim su, hoş bir rastlantı. at (sig.)ht ibrazında, gösterilince .catch (sig.)ht of görüvermek, gözüne ilişmek. find favor in someone' (sig.)ht birinin gözüne girmek. in (sig.)ht göz önünde, görünürde, gözle görülür, yakın. know by (sig.)ht yüzünden tanımak, göz aşinalığı olmak. not by a long (sig.)ht hiç, asla. on (sig.)ht görülünce, görüldüğü anda. out of (sig.)ht gözden uzak, (k. dili) son derece yüksek, fahiş (fiyat) Out of (sig.)ht, out of mind, Gözden ırak olan gönülden de ırak olur. take a (sig.)ht yerini belli etmek. You are a (sig.)ht for sore eyes. Yüzünüzü gören cennetlik olur.","aanblik, aansien, aansig, air, aspek"
sign,sain,"augure, preuve, témoignage, signal, signe, signer","agüero, prueba, señal, seña, firmar","चिह्न, (+, -, /,x६) Mathematics is a game of signs., Chinese people bows their head as a sign of respect., Your zodiac sign is excellent for this month., चेतावनी सूचक, After avoiding lot of signs he arrived at his destination., भाव मुद्रा, Signs on his face were full of sorrow.",,"符号, 記号, 看板, 符号, 合図, 兆し, 兆候, 手話, 印","merkki, merkki, kyltti, kilpi, liikennemerkki, opaste, viittoma, merkki, etumerkki, merkki, merkki, ele, tunnus, merkki, ennusmerkki, jälki, viittomakieli, merkki, oire","знак, знак, табела, плака́т, жест, симптом, знамение, следа, жестомимичен език",skilt,tegn,,ukazatel,arwydd,,,"natpis na radnji, obilježiti, obilježje, oznaka, označiti, potpisati, potpisati se, potpisivati, potpiše, predznak, simptom, trag, znak","jelzés, cégtábla, csillagkép, ismertetôjel, cégér, jel, felirat, jelkép, jelzôtábla, szimptóma, szimbólum, jegy, kórjel, tünet, figyelmeztetés, nyom, elôjel, címtábla","augurio, prova, segno, firmare","ales, avis, omen, signum","ženklas, žymė, simbolis, iškaba, paženklinti, pažymėti, pasirašyti, duoti ženklą (ranka)","teken, voorbode, voorteken, omen, adstructie, bewĳs, sein, signaal, blĳk, merkteken, wenk, onderschrĳven, tekenen, ondertekenen",,"sinal, marca, ponto, signo, assinar, subscrever, sinalizar",,,,skylt,,"işaret, alâmet, nişan, belirti, iz, remiz, tabela, levha, (astr.) on iki burçtan biri, (tıb.) araz. (sig.)n language sağır ve dilsizlerin işaretlerle konuştuklan dil. (sig.)n manual el yazısı imza (bilhassa hükümdarın) (sig.)n painter tabela ressamı. I had a (sig.)n içime doğdu.","bewys, teken"
signal,signəl,"signaler, signal, signe, témoignage","señal, seña","विशिष्ट, असाधारण, It is a signal victory to him.",,"合図, 信号, 電波","opastaa, signaloida, viestittää",сигнализирам,,,,znamení,,,,"impuls, korak, primjetan, signal, signala, signalizirati, upadljiv, znak, značajan","szemafor, jelzôberendezés, kiváló, figyelemre méltó, elôjel, jelzô, jelzôlámpa, emlékezetes, indítótárcsa, jelentôs, jelzôdobás, jeladás, jelzés, jel, kiemelkedô, feltûnô",segno,signum,"signalas, ženklas, signalinis, duoti signalą, signalizuoti, rodyti, įspėti","een sein geven, seinen, sein, signaal, teken, bewĳs, blĳk, merkteken, wenk",,"sinalizar, conversar por sinais, aceno, signo, sinal, marca, ponto",semnal,,,"signal, tecken",,"(-ed, -ing veya -led, -ling) işaret, belirten herhangi bir şey, işaretle verilen emir, parola, saik:  işaret vermek, işaretlerle bildirmek. (sig.)nal box (d.y.) içinde işaret cihazı bulunan kulübe. Signal Corps (ask.) işaret alayı. storm (sig.)nal fırtına çıkacağını bildiren işaret.",teken
signature,signətʃər,signature,firma,"हस्ताक्षर, Signatures are essential on a cheque.",,"サイン, 署名","allekirjoittaminen, otsikko, tunniste, varmenne, merkki, tunnusmerkki, etumerkintä, allekirjoitus, nimikirjoitus","подписване, ключ, по́дпис, подпис, сигнатура","underskrift, signatur",,,podepsání,llofnod,,,"oznaka, potpis, potpis (u kriptografiji), potpisivanje, signatura",,firma,subnotatio,"parašas, signatūra","handtekening, ondertekening",,assinatura,semnatură,,,"namnteckning, underskrift",,"imza, (müz.) işaret, nota imi, (matb.) kitap formasının ilk sayfasına konulan işaret, forma, (ecza) reçetede ilacın kullanılış şeklini belirten kısım.",handtekening
significant,/sɪɡˈnɪ.fɪ.kənt/,,,"महत्त्वपूर्ण, There is a significant decline in the child mortality in past few years., सार्थक, अर्थपूर्ण, His presence was significant at the premire of the film.",,"著しい, 重要","merkittävä, merkityksellinen, merkittävä, merkitsevä","значителен, съществен, значителен, изразителен, значим",,,,podstatný,arwyddocaol,,,"bitan, izrazit, karakterističan, opsežnu, važan, važeći, vrijednu, znatan, značajan, značajna, značajnija, značajnim, značajno","kiemelkedô, kifejezésteljes, kifejezô, nevezetes, lényeges, fontos, jelentôs, alapvetô",,,"reikšmingas, svarbus","betekenisvol, veelbetekenend, veelzeggend",,significante,,,,,,"manidar, anlam taşıyan, manalı, önemli, mühim. (sig.)nificantly  manalı bir şekilde.",betekenisvol
significantly,/sɪɡˈnɪfɪkəntli/,,,"अर्थपूर्णतासे, Significantly, he did not deny that there might be an election.",,著しい,"huomattavasti, merkittävästi",,,,,podstatně,,,,"bitno, znatno, značajan, značajno",,,,,,,significativamente,,,,,,,
silence,sailəns,repos,silencio,"सन्नाटा, A scream shattered the silence.",,"沈黙, 静けさ, 静寂, 黙秘, 静寂",hiljaa,тишина́,"hysj!, stille!",,,ztlumit,tawelu,,,"mir, tišina, tišina!, tišine, uljuljkati, umiriti, ušutkati, zaborav, šutnja","csendesség, némaság, adásszünet, feledés, titoktartás, tudás hiánya, hallgatás, nyugalom, csend, szünet",,,,"kalmte, rust, rustigheid, stilte, stilzwĳgen",,"calma, quietude, sossego, silêncio",,,,,,"sessizlik, sükut, zikretmeyiş, bahsetmeyiş, ketumiyet, sır saklama, sükunet, huzur, (müz.) es, susturmak, sesini kestirmek, sükut ettirmek, (ask.) bastırmak, ateş kesmeye mecbur etmek, yatıştırmak. Silence gives consent Sükut ikrardan gelir.",
silent,sailənt,silencieux,,"चुप, The boy became silent when his father asked him the reason for returning so late., अनुच्चरित, 'b' is silent when pronounced but written in 'comb'",,"静かな, 無音の, 無言の, 黙る","hiljainen, äänetön, tehoton, äänetön, äänettömälle, äänettömällä, äänetön, tyyni, hiljainen, hiljainen, vaitelias, piilevä","тих, безшумен, заглушен, непроизносим, безмълвен, безсимптомен, ням",stum,,,tichý,distaw,,,"bešuman, koji ćuti, miran, mučaljiv, nečujan, nijem, tih, ugašen, ćudljiv","zajtalan, csendes, hangtalan, hallgatag",silenzioso,silens,"tylus, nešnekus","stil, zwĳgend, stilzwĳgend",,"calado, silencioso",,безмолвный,,tyst,,"sessiz, sakin, suskun, söylenmeyen. silent letter okunmayan harf. silent partner işlerin yürütülmesine karışmayan ortak. silent system mahpusların birbiri ile konuşmalarını yasak eden sistem. silently  sessizce. silentness  sessizlik.",
silk,silk,"soyeux, soie",,"रेशम, High quality silk was exparted by China in earlier centuries.",,"絹, 絹布, 絹地, 絹, 絹糸",silkki,"копри́на, коприна, коприна, сви́ла",silke,,,hedvábný,sidan,,,"svila, svile, svilen",selyem,,bombycinus,"šilkas, šilkinė medžiaga, šilkinis","zĳden, zĳ, zĳde",,seda,,,,"avsiden, siden, silke",,"ipek, ipekli kumaş, ipeğe benzer örümcek ağı teli, ipeğe benzer mısır püskülü. silk cocoon ipek kozası. silk hat silindir şapka. silk mill ipek imalâthanesi veya tezgâhı. silk vine ipek fidanı, (bot.) Periploca graeca. artificial silk suni ipek. raw silk ham ipek. spun silk ibrişim.",
