id,en,zh,py,vi,vi2
851,We are all taking medicine against the disease.,我们都服药治疗疾病。,Wǒmen dōu fúyào zhìliáo jíbìng.,Tất cả chúng ta dùng thuốc để điều trị bệnh tật.,chúng ta đều uống thuốc chữa trị tật bệnh .
852,Would you please go to a dancing party with me?,请你跟我一起去参加一个舞会好吗?,Qǐng nǐ gēn wǒ yīqǐ qù cānjiā yīgè wǔhuì hǎo ma?,Bạn có thể đi đến một quả bóng với tôi?,mời ngươi cùng ta cùng đi tham gia một vũ hội có được không ?
853,He usually drops in at my place on his way home.,他常常在回家的路上顺便来看看我。,Tā chángcháng zài huí jiā de lùshàng shùnbiàn lái kàn kàn wǒ.,Anh ấy thường đến gặp tôi trên đường về nhà.,hắn thường thường trên đường về nhà tiện thể đến xem ta .
854,His vanity was hurt by their talking so frankly.,他们坦率的谈话伤害了他的虚荣心。,Tāmen tǎnshuài de tánhuà shānghàile tā de xūróng xīn.,Cuộc trò chuyện thẳng thắn của họ làm tổn thương sự phù phiếm của anh ấy.,bọn họ thẳng thắn nói chuyện làm hại hắn lòng hư vinh .
855,How would you go to Beijingby air or by train?,你怎样去北京，是乘飞机还是坐火车?,"Nǐ zěnyàng qù běijīng, shì chéng fēijī háishì zuò huǒchē?","Làm thế nào để bạn đến Bắc Kinh, đi máy bay hoặc bằng tàu hỏa?","ngươi thế nào đi bắc kinh , là thừa máy bay hay là ngồi xe lửa ?"
856,I cannot express how glad I am to hear from him.,我无法表达我接到他的信时有多高兴。,Wǒ wúfǎ biǎodá wǒ jiē dào tā de xìn shí yǒu duō gāoxìng.,Tôi không thể bày tỏ mình hạnh phúc như thế nào khi nhận được thư của anh ấy.,ta không cách nào biểu đạt ta tiếp vào hắn tin thì có cao bao nhiêu hưng .
857,"If Tom cannot keep his promise, he'll lose face.",如果汤姆不能信守诺言，他就会丢面子。,"Rúguǒ tāngmǔ bùnéng xìnshǒu nuòyán, tā jiù huì diūmiànzi.","Nếu Tom không thể giữ lời hứa, anh ta sẽ mất mặt.","nếu xúp mẫu không thể giữ lời hứa , hắn rồi sẽ mất mặt ."
858,I'll still love her even if she doesn't love me.,即使她不爱我，我还仍然爱她。,"Jíshǐ tā bù ài wǒ, wǒ hái réngrán ài tā.","Ngay cả khi cô ấy không yêu tôi, tôi vẫn yêu cô ấy.","cho dù nàng không yêu ta , ta còn vẫn đang yêu nàng ."
859,I received an invitationbut I did not accept it.,我收到-份请帖，但没有接受。,"Wǒ shōu dào-fèn qǐng tiě, dàn méiyǒu jiēshòu.","Tôi đã nhận được-Tôi nhận được một lời mời, nhưng tôi không chấp nhận nó.","ta nhận được - phần thiếp mời , nhưng không có tiếp nhận ."
860,If I were youI would not be bothered by English.,如果我是你，就不会为英语烦恼了。,"Rúguǒ wǒ shì nǐ, jiù bù huì wèi yīngyǔ fánnǎole.","Nếu tôi là bạn, tôi sẽ không lo lắng về tiếng Anh.","nếu như ta là ngươi , cũng không cần là tiếng Anh phiền não rồi ."
861,"If you don't work, you will fail to pass the exam.",如果你不学习，你考试就会不及格。,"Rúguǒ nǐ bù xuéxí, nǐ kǎoshì jiù huì bù jígé.","Nếu bạn không học, kỳ thi của bạn sẽ không thể làm được.","nếu ngươi không học tập , ngươi khảo thí rồi sẽ thất bại ."
862,I'm thinking of hanging the lamp from the ceiling.,我打算把灯吊在天花板上 。,Wǒ dǎsuàn bǎ dēng diào zài tiānhuābǎn shàng.,Tôi dự định treo đèn trên trần nhà.,ta định đem đèn dán tại trên trần nhà .
863,It is more important to be healthy than bony slim.,健康永远比皮包骨头好。,Jiànkāng yǒngyuǎn bǐ píbāogǔ tou hǎo.,Sức khỏe luôn tốt hơn da.,khỏe mạnh vĩnh viễn so với da bọc xương hảo .
864,"Long ago, people believed that the world was flat.",很久以前人们相信地球是平的。,Hěnjiǔ yǐqián rénmen xiāngxìn dìqiú shì píng de.,"Một thời gian dài trước đây, mọi người tin rằng trái đất bằng phẳng.",trước đây thật lâu mọi người cùng tin bóng là bình .
865,Old tunes are sweetest and old friends are surest.,老调最甜美，老友最可靠。,"Lǎodiào zuì tiánměi, lǎo yǒu zuì kěkào.","Giai điệu cũ là người ngọt ngào nhất, và những người bạn cũ là người đáng tin cậy nhất.","luận điệu cũ rích vui tươi nhất , lão hữu có thể dựa nhất ."
866,She makes it clear that she doesn't like swimming.,她明确地表示她不喜欢游泳。,Tā míngquè dì biǎoshì tā bù xǐhuān yóuyǒng.,Cô ấy tuyên bố rõ ràng rằng cô ấy không thích bơi lội.,nàng minh xác tỏ vẻ nàng không thích bơi lội .
867,The constitution guards the liberty of the people.,宪法保护人民的自由。,Xiànfǎ bǎohù rénmín de zìyóu.,Hiến pháp để bảo vệ sự tự do của người dân.,hiến pháp bảo hộ người dân tự do .
868,The doctor examined the soldier's wound carefully.,大夫仔细检查了战士的伤口。,Dàfū zǐxì jiǎnchále zhànshì dì shāngkǒu.,Bác sĩ cẩn thận kiểm tra vết thương của chiến binh.,bác sĩ cẩn thận kiểm tra chiến sĩ vết thương .
869,The harder I study the better my English will be.,我越努力，我的英语就会越好。,"Wǒ yuè nǔlì, wǒ de yīngyǔ jiù huì yuè hǎo.","Tôi càng làm việc càng khó, tiếng Anh của tôi càng tốt.","ta càng nỗ lực , ta tiếng Anh rồi sẽ càng tốt ."
870,The sun was shining and the sky was crystal clear.,阳光闪烁，天空湛蓝。,"Yángguāng shǎnshuò, tiānkōng zhànlán.",Mặt trời lóe lên và bầu trời màu xanh.,"ánh nắng lấp lóe , bầu trời xanh thẳm ."
871,This cellar room is very damp in the rainy season.,这间地下室在雨季非常潮湿。,Zhè jiān dìxiàshì zài yǔjì fēicháng cháoshī.,Tầng hầm này rất ẩm trong mùa mưa.,căn này tầng hầm đang mùa mưa rất ẩm ướt .
872,Computers are becoming a part of our everyday life.,电子计算机正渐渐成为我们日常生活的一部分。,Diànzǐ jìsuànjī zhèng jiànjiàn chéngwéi wǒmen rìcháng shēnghuó de yībùfèn.,Máy tính điện tử đang dần trở thành một phần của cuộc sống hàng ngày của chúng ta.,máy vi tính đang dần dần thành là chúng ta sinh hoạt hàng ngày một bộ phận .
873,Every man is fool sometimesbut none at all times.,每个人都有愚蠢的时候，但是没有一个人永远愚蠢。,"Měi gèrén dōu yǒu yúchǔn de shíhòu, dànshì méiyǒu yīgèrén yǒngyuǎn yúchǔn.","Mọi người đều ngu ngốc, nhưng không ai luôn ngu ngốc.","mỗi cái người đều có ngu xuẩn lúc , nhưng mà không có một người vĩnh viễn ngu xuẩn ."
874,He dreamed of traveling to remote South Sea Islands.,他曾梦想到遥远的南海诸岛去旅游。,Tā céng mèngxiǎng dào yáoyuǎn de nánhǎi zhūdǎo qù lǚyóu.,Anh từng mơ ước được đi du lịch đến các đảo Biển Đông xa xôi.,hắn từng mông nghĩ đến xa xôi nam biển chư đảo đi du lịch .
875,How can I climb up that wall! I wish I were a bird!,我怎么能够爬得上那堵墙?我要是一只鸟就好了!,Wǒ zěnme nénggòu pá dé shàng nà dǔ qiáng? Wǒ yàoshi yī zhī niǎo jiù hǎole!,Làm thế nào tôi có thể leo lên tường? Nếu tôi là một con chim!,ta sao có thể đủ leo lên bức tường kia tường ? ta nếu một con chim liền tốt !
876,However Susan has not really made up her mind yet.,然而，苏珊却还没有决定。,"Rán'ér, sū shān què hái méiyǒu juédìng.","Tuy nhiên, Susan đã không quyết định.","nhưng mà , tô san vẫn còn không có quyết định ."
877,I really think a little exercise would do you good.,我真的觉得做点运动对你有好处。,Wǒ zhēn de juédé zuò diǎn yùndòng duì nǐ yǒu hǎochù.,Tôi thực sự nghĩ rằng thực hiện một số bài tập là tốt cho bạn.,ta thật cảm thấy làm chút vận động đối với ngươi có chỗ tốt .
878,I will never forget the days that I spent with you.,我永远都不会忘记和你一起度过的日子。,Wǒ yǒngyuǎn dōu bù huì wàngjì hé nǐ yīqǐ dùguò de rìzi.,Tôi sẽ không bao giờ quên những ngày tôi dành cho bạn.,ta vĩnh viễn cũng sẽ không quên và ngươi cùng nơi vượt qua thời gian .
879,we got a bad headacheand my nose is running.,我头痛得厉害，还流鼻涕。,"Wǒ tóutòng dé lìhài, háiliú bítì.",Nhức đầu của tôi bị nặng và chảy nước mũi.,"đầu ta đau dữ dội , còn chảy nước mũi ."
880,Many young girls dream of being a fashion model.,许多年轻女孩梦想成为时装模特儿。,Xǔduō niánqīng nǚhái mèngxiǎng chéngwéi shízhuāng mótè ér.,Nhiều cô gái trẻ mơ ước trở thành một người mẫu thời trang.,rất nhiều cô gái trẻ tuổi mông muốn trở thành gắn liền với thời gian làm ra vẻ đặc biệt mà .
881,Most of the earth's surface is covered by water.,大部分的地球表面被水覆盖着。,Dà bùfèn dì dìqiú biǎomiàn bèi shuǐ fùgàizhe.,Hầu hết các bề mặt trái đất được phủ bằng nước.,phần lớn Trái Đất mặt ngoài bị nước bao trùm lấy .
882,Somebody's knocking at the door. I'll answer it.,有人在敲门，我去开。,"Yǒu rén zài qiāo mén, wǒ qù kāi.","Ai đó đang gõ cửa, tôi đã đi.","có người đang gõ cửa , ta đi mở ."
883,The number 13 bus will take you to the hospital.,13路车会带你去医院。,13 Lù chē huì dài nǐ qù yīyuàn.,13 Xe buýt sẽ đưa bạn đến bệnh viện.,13 đường xe lại dẫn ngươi đi bệnh viện .
884,They celebrated his birthday with a dance party.,他们举办舞会来祝贺他的生日。,Tāmen jǔbàn wǔhuì lái zhùhè tā de shēngrì.,Họ đã tổ chức một quả bóng để chúc mừng sinh nhật của anh ấy.,bọn họ tổ chức vũ hội đến chúc mừng sinh nhật của hắn .
885,They misplaced this book under other categories.,他们把它错放到另一个类别去了。,Tāmen bǎ tā cuò fàng dào lìng yīgè lèibié qùle.,Họ đặt nó sai cho một thể loại khác.,bọn họ đem nó sai phóng tới một cái khác cái thuộc loại đi .
886,They played a shameful part in the whole affair.,他们在这一事件中扮演了可耻的角色。,Tāmen zài zhè yī shìjiàn zhōng bànyǎnle kěchǐ de juésè.,Họ đóng một vai trò đáng xấu hổ trong vụ việc này.,bọn họ ở đây sự kiện này trong đóng vai đáng xấu hổ nhân vật .
887,As a matter of facthe was pretending to be ill.,实际上，他是在装病。,"Shíjì shang, tā shì zài zhuāng bìng.","Trong thực tế, anh ta đang giả vờ bị bệnh.","thực chất , hắn là đang giả bộ bệnh ."
888,I will speak against anything I know to be wrong.,我会对所有我认为不对的事情直言不讳。,Wǒ huì duì suǒyǒu wǒ rènwéi bùduì de shìqíng zhíyán bù huì.,Tôi sẽ cùn tất cả mọi thứ tôi nghĩ sai.,ta lại đối với tất cả ta nhận là không đúng sự việc thẳng thắn .
889,"In spite of the heavy rain, she went to the shop.",尽管下着大雨，她还是去了商店。,"Jǐnguǎn xiàzhe dàyǔ, tā háishì qùle shāngdiàn.","Mặc dù có mưa lớn, cô đã đi đến cửa hàng.","mặc dù đổ mưa to , nàng vẫn là đi cửa hàng ."
890,"No matter what happened, he would not say a word.",不管发生什么事，他也不会说一句话。,"Bùguǎn fāshēng shénme shì, tā yě bù huì shuō yījù huà.","Không có vấn đề gì xảy ra, anh ta sẽ không nói một lời.","mặc kệ xảy ra chuyện gì , hắn cũng sẽ không nói một câu ."
891,No one knows the location of the hidden treasure.,谁也不知道藏宝地点在哪里。,Shuí yě bù zhīdào zàng bǎo dìdiǎn zài nǎlǐ.,Không ai biết vị trí kho báu ở đâu.,ai cũng không biết tàng bảo địa chút ở nơi nào .
892,The old lady enjoys a quiet life with her family.,老太太和她的家人安享宁静的生活。,Lǎo tàitài hé tā de jiā rén ānxiǎng níngjìng de shēnghuó.,Bà già và gia đình cô tận hưởng một cuộc sống yên bình.,lão thái thái và người nhà của nàng an hưởng cuộc sống yên tĩnh .
893,The population of the city is close to a million.,这个城市的人口接近一百万。,Zhège chéngshì de rénkǒu jiējìn yībǎi wàn.,Dân số của thành phố là gần một triệu.,thành phố này nhân khẩu gần một trăm vạn .
894,We are prohibited from smoking on school grounds.,我们被禁止在校园内抽烟。,Wǒmen bèi jìnzhǐ zài xiàoyuán nèi chōuyān.,Chúng tôi đã bị cấm hút thuốc trong khuôn viên trường.,chúng ta bị cấm chỉ ở bên trong sân trường hút thuốc .
895,Growth however brings new problems and concerns.,不过，发展也带来了新的问题和顾虑。,"Bùguò, fāzhǎn yě dài láile xīn de wèntí hé gùlǜ.","Tuy nhiên, sự phát triển cũng mang lại những vấn đề và mối quan tâm mới.","chẳng qua , phát triển cũng mang đến mới vấn đề và lo lắng ."
896,He appears to be your friend but I doubt if he is.,他看上去像是你的朋友，但我怀疑他是否是真心的。,"Tā kàn shàngqù xiàng shì nǐ de péngyǒu, dàn wǒ huáiyí tā shìfǒu shì zhēnxīn de.","Anh ấy trông giống bạn của bạn, nhưng tôi nghi ngờ liệu anh ấy có chân thành không.","hắn nhìn qua như là ngươi bằng hữu , nhưng ta hoài nghi hắn có hay không là thật lòng ."
897,I am so full that I would burst with another bite.,我吃得如此之饱，我感觉我再吃一口肚子就要胀破了。,"Wǒ chī dé rúcǐ zhī bǎo, wǒ gǎnjué wǒ zài chī yīkǒu dùzi jiù yào zhàng pòle.","Tôi đã ăn rất đầy, và tôi cảm thấy rằng tôi bị cắn bụng và nó sẽ đầy hơi.","ta ăn đến như thế chi no bụng , ta ta cảm giác lại ăn một ngụm bụng muốn căng vỡ ra ."
898,"I have two cats. One is white, the other is black.",我有两只猫，一只是白猫，另一只是黑猫。,"Wǒ yǒu liǎng zhī māo, yī zhīshì bái māo, lìng yī zhīshì hēi māo.","Tôi có hai con mèo, một con là một con mèo trắng và cái còn lại là một con mèo đen.","ta có hai con mèo , một con là mèo trắng , một cái khác là mèo đen ."
899,"I'm sorry, these 2 books are 3 days overdue.",小姐，对不起，这两本书已经过期3天了。,"Xiǎojiě, duìbùqǐ, zhè liǎng běnshū yǐjīng guòqí 3 tiānle.","Cô, xin lỗi, hai cuốn sách này đã hết hạn trong 3 ngày.","cô , thật xin lỗi , cái này hai quyển sách đã qua kỳ 3 ngày ."
900,Jalu has forgotten falling off his bicycle.,詹露早忘掉他从白行车上摔下来这件事了。,Zhān lù zǎo wàngdiào tā cóng bái xíngchē shàng shuāi xiàlái zhè jiàn shìle.,Zhan Lu đã quên rằng anh ta đã rơi ra khỏi chiếc xe đạp trắng.,chiêm lộ sớm quên mất hắn theo bạch chạy lên té xuống tới đây sự kiện .
901,Manners are quite different from country to country.,各国的礼仪各不相同。,Gèguó de lǐyí gè bù xiāngtóng.,Các nghi thức của các quốc gia khác nhau là khác nhau.,các quốc gia lễ nghi không giống nhau .
902,Not only did I know her but I was her best friend.,我不仅认识她，还是她最好的朋友。,"Wǒ bùjǐn rènshí tā, háishì tā zuì hǎo de péngyǒu.","Tôi không chỉ biết cô ấy, mà còn là người bạn thân nhất của cô ấy.","ta không chỉ nhận thức nàng , hay là nàng tốt nhất bằng hữu ."
903,The best-known movie awards are the Academy Awards.,最著名的电影奖是奥斯卡金像奖。,Zuì zhùmíng de diànyǐng jiǎng shì àosīkǎ jīn xiàng jiǎng.,Giải thưởng phim nổi tiếng nhất là Giải thưởng vàng Oscar.,nổi tiếng nhất phim chiếu rạp thưởng là giải tượng vàng oscar .
904,We've got to do something about the neighbor's dog!,我们得对邻居的狗采取点行动了!,Wǒmen dé duì línjū de gǒu cǎiqǔ diǎn xíngdòngle!,Chúng ta phải thực hiện một số hành động đối với những con chó của hàng xóm!,chúng ta đối với hàng xóm chó khai thác bắt lính theo danh sách động !
905,Will you come and join us for dinner on Sunday?,星期天来和我们共进晚餐好吗?,Xīngqítiān lái hé wǒmen gòngjìn wǎncān hǎo ma?,Hãy đến và ăn tối với chúng tôi vào Chủ nhật?,Chủ nhật đến và chúng ta cùng đi ăn tối có được không ?
906,Do you think people are a company's greatest wealth?,你认为人是公司最大的财富吗?,Nǐ rènwéi rén shì gōngsī zuìdà de cáifù ma?,Bạn có nghĩ rằng mọi người là sự giàu có lớn nhất của công ty?,ngươi nhận làm người là công ty lớn nhất tài nguyên không ?
907,He thinks himself somebody but we think him nobody.,他自以为是重要人物，但我们觉得他什么也不是。,"Tā zìyǐwéishì zhòngyào rénwù, dàn wǒmen juédé tā shénme yě bùshì.","Anh ấy nghĩ anh ấy là một người quan trọng, nhưng chúng tôi cảm thấy rằng anh ấy chẳng là gì cả.","hắn tự cho là đúng nhân vật trọng yếu , nhưng chúng ta cảm thấy hắn chẳng là cái thá gì ."
908,I believe I haven't reached the summit of my career.,我相信我还没有达到事业的巅峰。,Wǒ xiāngxìn wǒ hái méiyǒu dádào shìyè de diānfēng.,Tôi tin rằng tôi đã không đạt đến đỉnh cao của sự nghiệp.,ta tin tưởng ta còn chưa có đạt tới sự nghiệp đỉnh phong .
909,It is no matter whether you get there early or late.,你早到晚到都没有关系。,Nǐ zǎo dào wǎn dào dōu méiyǒu guānxì.,Không quan trọng nếu bạn tiếp cận nó sớm hơn và sau này.,ngươi đến sớm đến chậm đều không liên quan .
910,It's against the rules to handle the ball in soccer.,在足球中以手触球就是犯规。,Zài zúqiú zhōng yǐ shǒu chù qiú jiùshì fànguī.,Chạm bóng trong bóng đá là một pha phạm lỗi.,đang bóng đá trong lấy tay sờ bóng đúng thế phạm quy .
911,The nurse assisted the doctor in the operating room.,护士在手术室协助医生动手术。,Hù shì zài shǒushù shì xiézhù yīshēng dòng shǒushù.,Các y tá hỗ trợ bác sĩ trong phòng phẫu thuật để phẫu thuật tích cực.,điều dưỡng viên ở phẫu thuật thất hiệp trợ bác sĩ mổ .
912,What I do on my own time is nobody else's business.,我在自己的时间里干什么根本不关别人的事。,Wǒ zài zìjǐ de shíjiān lǐ gànshénme gēnběn bù guān biérén de shì.,Tôi làm gì trong thời gian của tôi là không có gì về người khác.,ta đang thời gian của mình trong làm gì căn bản không liên quan chuyện của người khác .
913,What I want to do is different from those of others.,我想做的与别人不同。,Wǒ xiǎng zuò de yǔ biérén bùtóng.,Những gì tôi muốn làm là khác với những người khác.,ta muốn làm cùng người khác khác nhau .
914,You forget to write down the date of your departure.,您忘了写离店日期了。,Nín wàngle xiě lí diàn rìqíle.,Bạn đã quên ngày viết ra khỏi cửa hàng.,ngài quên viết cách cửa hàng ngày .
915,"“I wish I'd known about that rule earlier"" she said.",“我要是早点知道这个规矩就好了!”她说。,“Wǒ yàoshi zǎodiǎn zhīdào zhège guījǔ jiù hǎole!” Tā shuō.,"""Nếu tôi biết quy tắc này sớm hơn!"" Cô nói.",""" ta nếu sớm chút hiểu rõ cái quy củ này liền tốt !"" nàng nói ."
916,Could you tell me your secret for a long happy life?,你能告诉我长时间地过着快乐的生活的秘诀吗?,Nǐ néng gàosù wǒ cháng shíjiān dì guò zhe kuàilè de shēnghuó de mìjué ma?,Bạn có thể cho tôi biết bí mật của một cuộc sống hạnh phúc trong một thời gian dài?,ngươi có thể nói cho ta biết thời gian dài trải qua vui vẻ đời sống bí quyết không ?
917,He holds a position of great responsibility upon him.,他担任着一个责任重大的职务。,Tā dānrènzhe yīgè zérèn zhòngdà de zhíwù.,Anh ta có trách nhiệm lớn.,hắn đảm nhiệm nhìn một trách nhiệm trọng đại chức vụ .
918,It is said he has secret love affairs with two women!,据说他背地里和两个女人有关系！,Jùshuō tā bèidì lǐ hé liǎng gè nǚrén yǒu guānxì!,Người ta nói rằng anh ta có liên quan đến hai người phụ nữ ở lưng!,nghe nói hắn sau lưng và hai người phụ nữ liên quan đến hệ !
919,"Number 13 buses run much more frequently, don't they?",13路车跑得更勤，是不是?,"13 Lù chē pǎo dé gèng qín, shì bùshì?",13 xe buýt chạy có siêng năng hơn không?,"13 đường xe chạy càng cần , có phải là ?"
920,They are only too delighted to accept the invitation.,他们非常乐意接受邀请。,Tāmen fēicháng lèyìjiēshòu yāoqǐng.,Họ rất vui khi chấp nhận lời mời.,bọn họ rất bằng lòng tiếp nhận mời .
921,We are going to have the final examination next week.,我们下周举行期末考试。,Wǒmen xià zhōu jǔxíng qímò kǎoshì.,Chúng tôi sẽ tổ chức kỳ thi cuối cùng vào tuần tới.,chúng ta cuối tuần tiến hành thi cuối kỳ .
922,And now medical care helps to keep people alive longer.,现在的医疗保健使得人们活得更长。,Xiànzài de yīliáo bǎojiàn shǐdé rénmen huó dé gèng zhǎng.,Chăm sóc y tế hiện tại làm cho mọi người sống lâu hơn.,bây giờ chữa bệnh bảo vệ sức khoẻ khiến người ta nhóm sống được càng dài .
923,Do you think you'll be able to go to sleep right away?,你认为你马上就能睡着吗?,Nǐ rènwéi nǐ mǎshàng jiù néng shuìzhe ma?,Bạn có nghĩ rằng bạn có thể ngủ sớm?,ngươi cho rằng ngươi lập tức có thể ngủ không ?
924,I am in charge of the company when the manager is out.,经理不在时山我来管理公司。,Jīnglǐ bù zài shí shān wǒ lái guǎnlǐ gōngsī.,"Người quản lý không ở Shishan, tôi sẽ quản lý công ty.",Giám đốc không đang thời gian núi ta tới quản lý công ty .
925,I borrowed a notebook from Tom and I lent it to Marry.,我从汤姆那儿借了一本笔记本，我又把它借给玛丽了。,"Wǒ cóng tāngmǔ nà'er jièle yī běn bǐjìběn, wǒ yòu bǎ tā jí gěi mǎlìle.","Tôi đã mượn một cuốn sổ từ Tom, và tôi lại cho Mary cho Mary.","ta theo xúp mẫu chỗ ấy cho mượn một bản nhật ký , ta lại đem nó cấp cho mã lệ ."
926,I'm doing some washing and John is cooking dinner.,我正在洗衣服，约翰在做晚饭。,"Wǒ zhèngzài xǐ yīfú, yuēhàn zàizuò wǎnfàn.",Tôi đang giặt quần áo và John đang làm bữa tối.,"ta đang giặt quần áo phục , John tại làm cơm tối ."
927,Were there any exciting incidents during your journey?,你们在旅行中有没有什么令人激动的事情?,Nǐmen zài lǚxíng zhōng yǒu méiyǒu shén me lìng rén jīdòng de shìqíng?,Có điều gì thú vị trong chuyến đi của bạn không?,mấy người đang lữ hành trong có cái gì làm cho người kích động sự việc ?
928,As far as policy is concerned I have to say something.,谈到政策，我得说几句。,"Tán dào zhèngcè, wǒ dé shuō jǐ jù.","Khi nói đến các chính sách, tôi phải nói một vài từ.","nói tới chính sách , ta phải nói vài lời ."
929,Could you tell me what the maximum weight allowance is?,您能告诉我行李的最大重量限额是多少吗?,Nín néng gàosù wǒ xínglǐ de zuìdà zhòngliàng xiàn'é shì duōshǎo ma?,Bạn có thể cho tôi biết giới hạn trọng lượng tối đa của hành lý của tôi?,ngài có thể nói cho ta biết hành lý lớn nhất trọng lượng hạn ngạch là bao nhiêu không ?
930,He came out of the library with a large book under his arm.,他夹着本厚书，走出了图书馆。,"Tā jiāzhe běn hòu shū, zǒuchūle túshū guǎn.",Anh kẹp sách và bước ra khỏi thư viện.,"hắn kẹp lấy bản sách dày , đi ra thư viện ."
931,The brothers differ from each other in their interests.,这几个兄弟各有所好。,Zhè jǐ gè xiōngdì gè yǒu suǒ hào.,Những anh em này có lợi ích riêng của họ.,mấy cái này người anh em mỗi người mỗi sở thích .
932,Although we can't see these atoms they really do exist.,虽然我们看不见原子，但它们的确存在。,"Suīrán wǒmen kàn bùjiàn yuánzǐ, dàn tāmen díquè cúnzài.","Mặc dù chúng ta không thể nhìn thấy các nguyên tử, chúng tồn tại.","mặc dù chúng ta không nhìn thấy nguyên tử , nhưng nó nhóm quả thực tồn tại ."
933,I am familiar with the casual atmosphere in the company.,我对公司中这种放松的氛围感到很熟悉。,Wǒ duì gōngsī zhōng zhè zhǒng fàngsōng de fēnwéi gǎndào hěn shúxī.,Tôi quen thuộc với bầu không khí thoải mái này trong công ty.,ta đối với trong công ty kiểu này buông lỏng không khí cảm thấy rất quen thuộc .
934,"Most people eat, write and work with their right hands.",大多数人吃饭，写字，工作都用右手。,"Dà duōshù rén chīfàn, xiě zì, gōngzuò dōu yòng yòushǒu.","Hầu hết mọi người ăn, viết và làm việc với đôi tay phải của họ.","đại đa số người ăn cơm , viết chữ , công việc đều dùng tay phải ."
935,Only by working hard can we succeed in doing everything.,只有努力，才能成功,"Zhǐyǒu nǔlì, cáinéng chénggōng","Chỉ bằng cách làm việc, bạn mới có thể thành công","chỉ có nỗ lực , mới có thể thành công"
936,Take it easy you will be all right in a couple of days.,别担心，你两天之内就会痊愈的。,"bié dānxīn, nǐ liǎng tiān zhī nèi jiù huì quányù de.","Đừng lo lắng, bạn sẽ chữa lành trong vòng hai ngày.","đừng lo lắng , ngươi hai ngày trong rồi sẽ khỏi hẳn ."
937,The Beatles represented part of the spirit of their age.,甲壳虫乐队代表了他们时代的部分精神。,Jiǎkéchóng yuèduì dàibiǎole tāmen shídài de bùfèn jīngshén.,Ban nhạc Beetle đại diện cho một số thời gian của họ.,giáp xác trùng dàn nhạc đại biểu bọn họ thời đại bộ phận tinh thần .
938,There being no one to help me I had to do it all alone,因为没有人帮助我，我不得不独立完成这项工作,"Yīnwèi méiyǒu rén bāngzhù wǒ, wǒ bùdé bù dúlì wánchéng zhè xiàng gōngzuò.","Bởi vì không ai giúp tôi, tôi phải hoàn thành công việc này một cách độc lập","vì không ai trợ giúp ta , ta không thể không độc lập hoàn thành công việc này"
939,How much cloth does it take to make a skirt for the girl?,女孩做一条裙子要用多少布?,Nǚhái zuò yītiáo qúnzi yào yòng duōshǎo bù?,Một cô gái sử dụng bao nhiêu vải để làm váy?,cô gái làm một cái váy phải dùng bao nhiêu vải ?
941,I forgot to prepare the speech I'm supposed to give today.,我忘了准备今天的我该做的演讲了。,Wǒ wàngle zhǔnbèi jīntiān de wǒ gāi zuò de yǎnjiǎngle.,Tôi quên chuẩn bị cho bài phát biểu mà tôi nên làm hôm nay.,ta quên chuẩn bị hôm nay ta nên làm diễn giảng .
942,It's supposed to start at 6:30 sharp but I doubt it will.,应该是六点半整的，但是我觉得够呛。,"Yīnggāi shì liù diǎn bàn zhěng de, dànshì wǒ juédé gòuqiàng.","Nó nên là lúc 6:30, nhưng tôi nghĩ nó là đủ.","hẳn là sáu giờ rưỡi chỉnh , nhưng mà ta nghĩ quá sức ."
943,On behalf of my company I would like to welcome you here.,我代表我们公司欢迎你来这里。,Wǒ dàibiǎo wǒmen gōngsī huānyíng nǐ lái zhèlǐ.,"Thay mặt công ty chúng tôi, tôi chào mừng bạn đến đây.",ta đại biểu công ty của chúng ta chào mừng ngươi tới đây trong .
944,She's been quite different since coming back from America.,从美国回来之后，她变化很大。,"Cóng měiguó huí lái zhīhòu, tā biànhuà hěn dà.","Sau khi trở về từ Hoa Kỳ, cô đã thay đổi rất nhiều.","theo Mỹ quay về sau đó , nàng biến hóa rất lớn ."
945,Today it is common that women and girls make up in public,今天，在公共场所看到妇女和姑娘化妆打扮是很普遍的事,"Jīntiān, zài gōnggòng chǎngsuǒ kàn dào fùnǚ hé gūniáng huàzhuāng dǎbàn shì hěn pǔbiàn de shì.","Ngày nay, người ta thường thấy phụ nữ và cô gái trang điểm ở những nơi công cộng.","hôm nay , đang nơi công cộng nhìn thấy phụ nữ và cô gái trang điểm cách ăn mặc thật là phổ biến chuyện"
946,I have to transfer to No. 11 bus but where is the bus stop?,我需要换乘11路公共汽车，但是汽车站在 哪儿?,"Wǒ xūyào huàn chéng 11 lù gōnggòng qìchē, dànshì qìchē zhàn zài nǎ'er?","Tôi cần chuyển sang xe buýt thứ 11, nhưng trạm xe buýt ở đâu?","ta cần đổi thừa 11 đường xe công cộng , nhưng mà bến xe đang chỗ nào ?"
947,I supposed him to be very clever but he was in fact a fool.,我以为他很聪明，其实他是个蠢货。,"Wǒ yǐwéi tā hěn cōngmíng, qíshí tā shì gè chǔnhuò.","Tôi nghĩ anh ấy thông minh, nhưng anh ấy thực sự là một kẻ ngốc.","ta cho là hắn vô cùng thông minh , thực ra hắn là ngu xuẩn ."
