id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
3902,期限,qī xiàn,"time limit, deadline, allotted time",kỳ hạn,6,对投资期限较长者可获百分之二的奖励.,duì tóuzī qīxiàn jiào zhǎngzhě kě huò bǎifēnzhī èr de jiǎnglì,A premium of 2 per cent is paid on long-term investments.,đối với đầu tư kỳ hạn dài người có thể lấy được 2% ban thưởng .
3903,欺负,qī fu,to bully,bắt nạt,6,那些小男孩儿巴不得让那欺负人的坏蛋也尝点苦头.,nàxiē xiǎo nánháir bābude ràng nà qīfu rén de huàidàn yě cháng diǎn kǔtou,The smaller boys badly wanted to give the bully a dose of his own medicine.,những kia tiểu nam hài ước gì khiến vậy khi phụ người đồ đểu cũng nếm chút đau khổ .
3904,欺骗,qī piàn,"to deceive, to cheat",lừa gạt,6,他以友谊为掩护欺骗了我们。,tā yǐ yǒuyì wéi yǎnhù qīpiàn le wǒmen,He cheated us under the guise of friendship.,hắn dùng hữu nghị làm yểm hộ lừa gạt chúng ta .
3905,凄凉,qī liáng,desolate,thê lương,6,,,,
3906,奇妙,qí miào,"fantastic, wonderful",kỳ diệu,6,极好的某种东西出奇地好或奇妙的,jíhǎo de mǒuzhǒng dōngxi chūqí dì hǎo huò qímiào de,Something exceptionally exciting or wonderful.,vô cùng tốt vật gì đó một cách lạ kỳ hảo hoặc kỳ diệu
3907,旗袍,qí páo,"Chinese-style dress, cheongsam",sườn xám,6,,,,
3908,旗帜,qí zhì,"ensign, flag",cờ xí,6,旗帜在微风中飘扬。,qízhì zài wēifēng zhōng piāoyáng,Banners fluttered in the breeze.,cờ xí đang trong gió nhẹ tung bay .
3909,齐全,qí quán,complete,đầy đủ,6,,,,
3910,齐心协力,qí xīn xié lì,"to work with a common purpose (idiom); to make concerted efforts, to pull together, to work as one",đồng tâm hiệp lực,6,他们齐心协力为祖国战斗。,tāmen qíxīnxiélì wéi zǔguó zhàndòu,They fought for their motherland shoulder to shoulder.,bọn họ đồng tâm hiệp lực là tổ quốc chiến đấu .
3911,歧视,qí shì,"to discriminate against, discrimination",kỳ thị,6,种族隔离制南非共和国实行的一种官方的种族隔离政策，包括在政治、法律和经济诸方面对非白色人种的歧视,zhǒngzúgélí zhì Nánfēi gònghéguó shíxíng de yīzhǒng guānfāng de zhǒngzúgélí zhèngcè bāokuò zài zhèngzhì fǎlǜ hé jīngjì zhū fāngmiàn duì fēi báisèrénzhǒng de qíshì,"An official policy of racial segregation practiced in the Republic of South Africa, involving political, legal, and economic discrimination against nonwhites.","a-pác-thai chế nam không phải nước cộng hoà thực hành một loại chính thức a-pác-thai chính sách , bao gồm đang chính trị , pháp luật và kinh tế chư phương diện đối với không phải loại người da trắng kỳ thị"
3912,起草,qǐ cǎo,"draft (a bill), draw up (plans)",khởi thảo,6,他起草了一份讲话的概要。,tā qǐcǎo le yī fèn jiǎnghuà de gàiyào,He drew up a brief for his speech.,hắn khởi thảo một phần nói chuyện điểm chính .
3913,起初,qǐ chū,"originally, at first, at the outset",mới đầu,6,起初我不同意他的提议，不过后来我改了主意。,qǐchū wǒ bùtóng yì tā de tíyì bùguò hòulái wǒ gǎi le zhǔyi,"Initially, I disagree with his proposal, but later I changed my mind.","mới đầu ta không đồng ý đề nghị của hắn , bất quá về sau ta đổi chủ ý ."
3914,起伏,qǐ fú,"to move up and down, to undulate, ups and downs",phập phồng,6,那所房子周围有500英亩起伏不平的草地.,nà suǒ fángzi zhōuwéi yǒu yīngmǔ qǐfú bùpíng de cǎodì,The house stands in 500 acres of rolling parkland.,vậy chỗ nhà chung quanh có 500 mẫu Anh phập phồng bất bình bãi cỏ .
3915,起哄,qǐ hòng,"to heckle, rowdy jeering, to create a disturbance",ồn ào,6,,,,
3916,起码,qǐ mǎ,"at the minimum, at the very least",tối thiểu,6,抄袭者，起码也有保存文物的功劳。,chāoxí zhě qǐmǎ yě yǒu bǎocún wénwù de gōngláo,"Plagiarists, at least, have the merit of preservation.","đạo văn người , tối thiểu cũng có bảo tồn văn vật công lao ."
3917,起义,qǐ yì,"uprising, insurrection, revolt",khởi nghĩa,6,它组织了一个反对侵略者的起义。,tā zǔzhī le yī gè fǎnduì qīnlüèzhě de qǐyì,It organized an insurrection against the aggressors.,nó tổ chức một phản đối kẻ xâm lược khởi nghĩa .
3918,起源,qǐ yuán,"origin, to originate, to come from",nguồn cơn,6,"拉丁语系, 例如法语, 意大利语, 都起源于拉丁语。",lādīng yǔxì lìrú Fǎyǔ Yìdàlìyǔ dōu qǐyuán yú Lādīngyǔ,"The Roman languages such as French, Italian, are all derived from Latin.","tiếng Latinh hệ , tỷ như tiếng Pháp , tiếng ý , đều khởi nguyên từ tiếng Latinh ."
3919,启程,qǐ chéng,to set out on a journey,lên đường,6,开往上海的轮船星期三启程。,kāiwǎng Shàng Hǎi de lúnchuán Xīngqīsān qǐchéng,The steamers for Shanghai leave on Wednesday.,lái hướng lên biển tàu thuỷ thứ Tư lên đường .
3920,启示,qǐ shì,"enlightenment, revelation, apocalypse",gợi ý,6,神迹，启示上帝的权力、能力、显现或面貌,shénjì qǐshì Shàngdì de quánlì nénglì xiǎnxiàn huò miànmào,"The force, effect, or a manifestation or aspect of this being.","thần tích , gợi ý lên đế quyền lực , khả năng , hiển hiện hoặc diện mạo"
3921,启事,qǐ shì,"announcement (written, on billboard, letter, newspaper or website), to post information, a notice",thông báo,6,,,,
3922,乞丐,qǐ gài,beggar,tên ăn mày,6,那个乞丐饿得晕倒了。,nàge qǐgài è dé yūndǎo le,The beggar fell down in a swoon from sheer hunger.,cái đó tên ăn mày đói đến té xỉu .
3923,岂有此理,qǐ yǒu cǐ lǐ,"how can this be so? (idiom); preposterous, ridiculous, absurd",lẽ nào lại như vậy,6,,,,
3924,器材,qì cái,"equipment, material",thiết bị,6,把你们的器材准备好，开始行动的时刻到了。,bǎ nǐmen de qìcái zhǔnbèi hǎo kāishǐ xíngdòng de shíkè dàoliǎo,"Get your equipment ready, it's coming up to zero hour.","đem ngươi nhóm thiết bị chuẩn bị kỹ càng , bắt đầu hành động thời khắc đến ."
3925,器官,qì guān,"organ (part of body tissue), apparatus",khí quan,6,雌雄异株的在一个个体上产生雄性器官，而在另一同种的个体上产生雌性器官的,cíxióng yì zhū de zài yīgègè tǐ shàng chǎnshēng xióngxìng qìguān ér zài lìngyī tóng zhǒng de gètǐ shàng chǎnshēng cíxìng qìguān de,Having the male and female reproductive organs borne on separate individuals of the same species.,"cây đơn tính đang một cá thể lên sinh ra giống đực khí quan , mà đang một cái khác cùng loại cá thể lên sinh ra giống cái khí quan "
3926,气概,qì gài,"lofty quality, mettle, spirit",khí khái,6,,,,
3927,气功,qì gōng,"qigong, a system of deep breathing exercises",khí công,6,你对气功怎么看？,nǐ duì qìgōng zěnme kàn,How do you feel about Qigong?,ngươi đối với khí công thấy thế nào ?
3928,气魄,qì pò,"spirit, boldness, positive outlook, imposing attitude",khí phách,6,,,,
3929,气色,qì sè,complexion,khí sắc,6,,,,
3930,气势,qì shì,"imposing manner, loftiness, grandeur, energetic looks, vigor",khí thế,6,她单凭个人气势就镇住了会场。,tā dān píng gèrén qìshì jiù zhènzhù le huìchǎng,She dominated the meeting by sheer force of character.,nàng chỉ bằng vào người khí thế thì trấn trụ hội trường .
3931,气味,qì wèi,"odor, scent",mùi,6,这只汉堡包不但气味好闻而且味道好吃。,zhè zhǐ hànbǎobāo bùdàn qìwèi hǎo wén érqiě wèidao hǎochī,The hamburger not only smells good but (also) tastes delicious.,cái này hamburger chẳng những mùi dễ ngửi với lại hương vị ăn ngon .
3932,气象,qì xiàng,meteorological feature,khí tượng,6,气象学者画了一张天气图。,qìxiàngxuézhě huà le yī zhāng tiānqì tú,The Meteorologist drew a picture of weather.,khí tượng học người vẽ lên một tờ bản đồ thời tiết .
3933,气压,qì yā,"atmospheric pressure, barometric pressure",khí áp,6,空气压力使水通过管道.,kōngqì yālì shǐ shuǐ tōngguò guǎndào,Air pressure forces the water through the pipe.,không khí áp lực dùng nước thông qua đường ống .
3934,迄今为止,qì jīn wéi zhǐ,"so far, up to now, still (not)",cho đến tận này,6,这是迄今为止我经历的最热的一天。,Zhè shì qìjīn wéizhǐ wǒ jīnglì de zuì rè de yītiān.,It's the hottest day I've had so far.,đây là cho đến tận này ta trải nghiệm nóng nhất một ngày .
3935,掐,qiā,"to pick (flowers), to pinch, to nip, to pinch off, to clutch, (slang) to fight",bóp,6,发现一个老妇人被掐死了。,fāxiàn yī gè lǎofùrén bèi qiāsǐ le,An old woman was found choked to death.,phát hiện một lão phụ nhân bị bóp chết .
3936,恰当,qià dàng,"appropriate, suitable",thỏa đáng,6,那不是很恰当的话。,nà bùshì hěn qiàdàng dehuà,That was not a very happy remark.,đây không phải là vô cùng kháp đương .
3937,恰到好处,qià dào hǎo chù,"it's just perfect, it's just right",vừa đúng,6,鱼做得恰到好处。,yú zuò dé qiàdàohǎochù,The fish is done to a turn.,cá làm được vừa đúng .
3938,恰巧,qià qiǎo,"fortunately, unexpectedly, by coincidence",trùng hợp,6,我母亲恰巧那天出去了。,wǒ mǔqīn qiàqiǎo nàtiān chūqù le,It happened that my mother was out that day.,ta mẹ trùng hợp ngày đó đi ra .
3939,洽谈,qià tán,to discuss,hiệp đàm,6,她与我们洽谈成交後又翻悔了.,tā yǔ wǒmen qiàtán chéngjiāo hòu yòu fānhuǐ le,She welshed on (the bargain she made with) us.,nàng cùng ta nhóm hiệp đàm thành giao sau lại lật hối hận .
3940,牵扯,qiān chě,"to involve, to implicate",liên lụy,6,欧洲进一步统一的计划可以尚未定案，可是从赫尔辛基到罗马的人在最近几星期得到一个时常令人痛苦的教训：他们各国的经济已经如何地牵扯在一起了。,Ōuzhōu jìnyībù tǒngyī de jìhuà kěyǐ shàngwèi dìng'àn kěshì cóng Hè'ěrxīnjī dào Luómǎ de rén zài zuìjìn jǐ xīngqī dédào yī gè shícháng lìngrén tòngkǔ de jiàoxun tāmen gèguó de jīngjì yǐjīng rúhé dì qiānchě zàiyīqǐ le,"Europe's plans for further unification may be up in the air, but people from Helsinki to Rome have been learning an often painful lesson in recent weeks about how entwined their economies have already become.","Châu Âu tiến một bước thống nhất kế hoạch có thể chưa định án , nhưng theo hách ngươi tân cơ đến la ngựa người đang gần đây mấy tuần đạt được một thường xuyên làm cho người đau khổ giáo huấn : bọn họ các quốc gia kinh tế đã làm sao liên lụy ở cùng một chỗ ."
3941,牵制,qiān zhì,"to control, to curb, to restrict, to impede, to pin down (enemy troops)",kiềm chế,6,"我们对入侵之敌采取牵制的方针, 以备组织好兵力将之击退.",wǒmen duì rùqīn zhī dí cǎiqǔ qiānzhì de fāngzhēn yǐ bèi zǔzhī hǎo bīnglì jiāng zhī jītuì,"Until we'd built up sufficient forces to drive the invaders back, we pursued a policy of containment.","chúng ta đối với xâm lấn chi địch khai thác kiềm chế phương châm , chuẩn bị tổ chức hảo binh lực đem đánh lui ."
3942,千方百计,qiān fāng bǎi jì,"lit. thousand ways, a hundred plans (idiom); by every possible means",trăm phương ngàn kế,6,她千方百计想离开。,tā qiānfāngbǎijì xiǎng líkāi,She made every attempt to go.,nàng trăm phương ngàn kế nghĩ rời khỏi .
3943,签订,qiān dìng,to agree to and sign (a treaty etc),ký kết,6,第二次世界大战期间，日本政府和德国签订了一项密约。,Dì'èr Cì Shìjiè Dàzhàn qījiān Rìběn zhèngfǔ hé Déguó qiāndìng le yī xiàng mìyuē,The Japanese Government made a secret deal with Germany during the Second World War.,"đại chiến thế giới lần hai trong lúc đó , chính phủ Nhật Bản và Đức ký kết một hạng mật ước ."
3944,签署,qiān shǔ,to sign (an agreement),ký tên,6,美国和前苏联都是条约的签署国.,Měiguó hé qián Sūlián dōu shì tiáoyuē de qiānshǔ guó,The US and the former Soviet Union were co-signatories of/to the treaty.,Mỹ và trước tô liên đều là điều ước ký tên nước .
3945,迁就,qiān jiù,"to yield, to adapt to, to accommodate to (sth)",dời thì,6,他不得不迁就他的弟弟。,tā bùdébù qiānjiù tā de dìdi,He has to appease his young brother.,hắn không thể không dời thì em trai của hắn .
3946,迁徙,qiān xǐ,"to migrate, to move",di chuyển,6,移居到发展中地区的人不久就迁徙到内地了.,yíjū dào fāzhǎnzhōng dìqū de rén bùjiǔ jiù qiānxǐ dào nèidì le,Settlers soon spread inland.,di cư đến đang phát triển địa khu người không lâu thì di chuyển đến nội địa .
3947,谦逊,qiān xùn,"humble, modest, unpretentious, modesty",khiêm tốn,6,谦逊的以一种谦卑或温顺的方式,qiānxùn de yǐ yīzhǒng qiānbēi huò wēnshùn de fāngshì,In a meek or humble manner.,khiêm tốn dùng một loại khiêm tốn hoặc dịu dàng ngoan ngoãn cách thức
3948,前景,qián jǐng,"foreground, vista, (future) prospects, perspective",tiền cảnh,6,前景中的马画得不成比例.,qiánjǐng zhòngdì mǎ huà dé bùchéng bǐlì,The figures of the horses in the foreground are out of proportion.,tiền cảnh bên trong ngựa họa được kém xa .
3949,前提,qián tí,"premise, precondition, prerequisite",tiền đề,6,那项政策的失败使他们又回到若干时间以前提出的一项方案。,nà xiàng zhèngcè de shībài shǐ tāmen yòu huídào ruògān shíjiān yǐqián tíchū de yī xiàng fāng'àn,The failure of that policy threw them back on a scheme which had been put forward some time previously.,vậy hạng chính sách thất bại khiến cho bọn hắn lại về đến một số thời gian trước kia nói lên một hạng phương án .
3950,潜力,qián lì,"potential, capacity",tiềm lực,6,如果贵公司愿意，我们将乐于提供样品，便于您向有购买潜力的顾客展示。,rúguǒ guìgōngsī yuànyì wǒmen jiāng lèyú tígōng yàngpǐn biànyú nín xiàng yǒu gòumǎi qiánlì de gùkè zhǎnshì,If you agree we shall be glad to supply you with our samples for you to show to the potential customers.,"nếu quý công ty vui lòng , chúng ta đem vui với cung cấp mẫu vật , dễ dàng cho ngài hướng có mua sắm tiềm lực khách hàng biểu hiện ra ."
3951,潜水,qián shuǐ,"to dive, to go under water, lurker (Internet slang for sb who reads forum posts but never replies)",lặn xuống nước,6,那艘船是被潜水艇毁坏的。,nà sōu chuán shì bèi qiánshuǐtǐng huǐhuài de,The vessel was ruined by a submarine.,chiếc thuyền kia bị tàu ngầm hủy hỏng .
3952,潜移默化,qián yí mò huà,"imperceptible influence, to influence secretly",thay đổi một cách vô tri vô giác,6,,,,
3953,谴责,qiǎn zé,"to denounce, to condemn, to criticize, condemnation, criticism",khiển trách,6,我们都谴责工会破坏谈判。,wǒmen dōu qiǎnzé gōnghuì pòhuài tánpàn,We all accused the union of torpedoing the negotiation.,chúng ta đều khiển trách công hội phá hoại đàm phán .
3954,强制,qiáng zhì,"to enforce, enforcement, forcibly, compulsory",cưỡng chế,6,强制的权力或能力,qiángzhì de quánlì huò nénglì,Power or ability to coerce.,cưỡng chế quyền lực có lẽ có thể lực
3955,抢劫,qiǎng jié,"to rob, looting",cướp đoạt,6,他声称他遭到抢劫.,tā shēngchēng tā zāodào qiǎngjié,He made out that he had been robbed.,hắn công bố hắn lọt vào cướp đoạt .
3956,抢救,qiǎng jiù,rescue,cứu giúp,6,抢救那孩子的生命是英勇的行为。,qiǎngjiù nà háizi de shēngmìng shì yīngyǒng de xíngwéi,Saving the child's life was a heroic act.,cứu giúp vậy đứa nhỏ mạng sống là anh dũng được là .
3957,强迫,qiǎng pò,"to compel, to force",ép buộc,6,强迫推行一项政策不是办法。,qiǎngpò tuīxíng yī xiàng zhèngcè bùshì bànfǎ,It is not the proper way to implement a policy by force.,ép buộc phổ biến một hạng chính sách không phải cách .
3958,桥梁,qiáo liáng,"bridge, fig. connection between two areas",cầu nối,6,这个城市因为各种桥梁而著称。,zhège chéngshì yīnwèi gèzhǒng qiáoliáng ér zhùchēng,This city is noted for its various bridges.,thành phố này vì các loại cầu nối mà xưng .
3959,翘,qiào,"to stick up, to rise on one end, to tilt",vểnh lên,6,这块潮湿的木材有些翘棱了.,zhè kuài cháoshī de mùcái yǒuxiē qiáoleng le,The damp wood began to warp.,khối này ẩm ướt vật liệu gỗ có hơi vênh lên .
3960,锲而不舍,qiè ér bù shě,"to chip away at a task and not abandon it (idiom); to chisel away at sth, to persevere, unflagging efforts",kiên nhẫn,6,,,,
3961,切实,qiè shí,"feasible, earnestly, conscientiously, realistic, practical",thiết thực,6,那是一项不切实际的计画。,nàshi yī xiàng bùqièshíjì de jìhuà,It isn't a realistic plan.,đó là một hạng không thiết thực kế hoạch .
3962,亲热,qīn rè,"affectionate, intimate, warm-hearted",thân mật,6,那孩子见他妈妈当着同学们的面亲亲热热、婆婆妈妈的对待他，感到害臊，不知如何是好。,nà háizi jiàn tā māma dāngzhe tóngxué men de miàn qīnqīn rè rè pópomāmā de duìdài tā gǎndào hàisào bùzhī rúhé shì hǎo,The child was ashamed of the affectionate fuss his mother was making of him in front of his schoolmates and didn't know where to turn his eyes.,"vậy đứa nhỏ gặp hắn mama ngay trước các bạn học mặt thân thân nhiệt nhiệt , bà bà mụ mụ đối đãi hắn , cảm thấy e lệ , không biết như thế nào cho phải ."
3963,亲身,qīn shēn,"personal, oneself",tự mình,6,那个小男孩在他母亲身边跳跳蹦蹦地往前走。,nàge xiǎo nánhái zài tā mǔqīn shēnbiān tiào tiào bèng bèng dì wǎngqián zǒu,The little boy skipped along at his mother's side.,cái đó cậu bé đang hắn mẹ bên cạnh nhảy nhót nhảy nhảy đi lên phía trước .
3964,侵犯,qīn fàn,"to infringe on, to encroach on, to violate",xâm phạm,6,她挣扎著想摆脱那个侵犯她的人.,tā zhēngzhá zhuóxiǎng bǎituō nàge qīnfàn tā de rén,She struggled to get away from her attacker.,nàng giãy dụa lấy chỉ muốn thoát khỏi cái đó xâm phạm nàng người .
3965,钦佩,qīn pèi,"to admire, to look up to, to respect sb greatly",khâm phục,6,她的高尚品格令人钦佩.,tā de gāoshàng pǐngé lìngrénqīnpèi,Her nobility of character made her much admired.,nàng cao thượng phẩm cách khiến người khâm phục .
3966,勤俭,qín jiǎn,hardworking and frugal,cần kiệm,6,,,,
3967,勤恳,qín kěn,"diligent and attentive, assiduous, sincere",cần cù chăm chỉ,6,,,,
3968,氢,qīng,hydrogen (chemistry),hydro,6,水由氢和氧组成。,shuǐ yóu qīng hé yǎng zǔchéng,Water is composed of hydrogen and oxygen.,nước do hydro và dưỡng tạo thành .
3969,轻而易举,qīng ér yì jǔ,"easy, with no difficulty",dễ như trở bàn tay,6,他轻而易举地完成了这项工作。,tā qīng'éryìjǔ dì wánchéng le zhè xiàng gōngzuò,He finished the work without any difficulty.,hắn dễ như trở bàn tay hoàn thành công việc này .
3970,清澈,qīng chè,"clear, limpid",thanh tịnh,6,清澈的水中映出蔚蓝的天空。,qīngchè de shuǐ zhōng yìng chū wèilán de tiānkōng,The clear water mirrored the blue sky.,thanh tịnh trong nước chiếu ra xanh thẳm trời trống .
3971,清晨,qīng chén,early morning,sáng sớm,6,其实用不着在清晨3点钟就把我叫醒吧.,qíshí yòngbuzháo zài qīngchén diǎnzhōng jiù bǎ wǒ jiàoxǐng ba,I could have done without being (ie I wish I hadn't been) woken up at 3 o'clock in the morning.,thực ra không cần đến đang sáng sớm 3 giờ liền đem ta gọi tỉnh đi .
3972,清除,qīng chú,"to eliminate, to get rid of",thanh trừ,6,管弦乐队新来的指挥一上任就先把较差的演奏人员清除出去了。,guǎnxiányuèduì xīn lái de zhǐhuī yī shàngrèn jiù xiān bǎ jiàochā de yǎnzòu rényuán qīngchú chūqù le,The new conductor start by weed out the weaker player in the orchestra.,đội nhạc cụ dây và nhạc cụ hơi mới tới chỉ huy vừa lên đảm nhiệm trước hết đem so sánh kém diễn tấu nhân viên thanh trừ đi ra .
3973,清洁,qīng jié,clean,sạch sẽ,6,个人清洁对于健康和仪表同样重要。,gèrén qīngjié duìyú jiànkāng hé yíbiǎo tóngyàng zhòngyào,Personal cleanliness is important to health as well as to appearance.,người sạch sẽ đối với khỏe mạnh và dáng vẻ đồng dạng quan trọng .
3974,清理,qīng lǐ,"to clear up, to tidy up, to dispose of",kiểm tra,6,火花塞要清理一下了.,o shíjìshàng hěn fáwèi de,The sparking-plugs need cleaning.,bu-ji muốn kiểm tra một chút .
3975,清晰,qīng xī,"clear, distinct",rõ ràng,6,花朵在阳光下清晰地显现出轮廓。,huāduǒ zài yángguāng xià qīngxī dì xiǎnxiàn chū lúnkuò,The flower was clearly outlined in the light of the lamp.,đóa hoa dưới ánh mặt trời rõ ràng hiện ra hình dáng .
3976,清醒,qīng xǐng,"clear-headed, sober, awake",thanh tỉnh,6,"数小时后, 他清醒过来。",shùxiǎoshí hòu tā qīngxǐng guòlái,It was many hours before he came back to life.,"đếm giờ sau , hắn thanh tỉnh đến ."
3977,清真,qīng zhēn,"Islamic, Muslim, halal (of food), clean, pure",thanh thật,6,信徒们都赶往清真寺。,xìntú men dōu gǎnwǎng qīngzhēnsì,The devout were all hurrying to the mosque.,các tín đồ đều chạy tới nhà thờ Hồi giáo .
3978,倾听,qīng tīng,to listen attentively,lắng nghe,6,人应当倾听自己的内心感觉。,rén yīngdāng qīngtīng zìjǐ de nèixīn gǎnjué,He should listen to his intimate feelings.,người nên lắng nghe nội tâm của mình cảm giác .
3979,倾向,qīng xiàng,"trend, tendency, orientation",khuynh hướng,6,我倾向于相信他的无辜。,wǒ qīngxiàngyú xiāngxìn tā de wúgū,I'm inclined to believe him innocent.,ta có khuynh hướng tin tưởng hắn vô tội .
3980,倾斜,qīng xié,"to incline, to lean, to slant, to slope, to tilt",nghiêng,6,这地微向南面倾斜。,zhè dì wēi xiàngnán miàn qīngxié,The land dips gently to the south.,đất này hơi hướng nam mặt nghiêng .
3981,晴朗,qíng lǎng,sunny and cloudless,sáng sủa,6,星星在晴朗的夜空闪亮。,xīngxing zài qínglǎng de yèkōng shǎnliàng,Stars are brilliant in the clear night sky.,những vì sao đang sáng sủa đêm trống lóe sáng .
3982,情报,qíng bào,"(spy) intelligence, information-gathering",tình báo,6,警方还未得到可捉拿这个罪犯的足够情报。,jǐngfāng hái wèi dédào kě zhuōná zhège zuìfàn de zúgòu qíngbào,The police haven't got enough information to catch the criminal.,cảnh sát còn chưa đạt được có thể bắt cầm cái này tội phạm đầy đủ tình báo .
3983,情节,qíng jié,"plot, circumstances",tình tiết,6,那电影的情节是老掉牙的。,nà diànyǐng de qíngjié shì lǎodiàoyá de,The film had a rather tired plot.,vậy phim chiếu rạp tình tiết là cũ rích .
3984,情理,qíng lǐ,"reason, sense",tình lý,6,无意义的事没有意义或情理的事物,wú yìyì de shì méiyǒuyìyì huò qínglǐ de shìwù,Something empty of meaning or sense.,không có ý nghĩa chuyện không có ý nghĩa hoặc tình lý sự vật
3985,情形,qíng xing,"circumstances, situation",tình hình,6,一个假设的情形,yī gè jiǎshè de qíngxing,A hypothetical situation.,một giả thiết tình hình
3986,请柬,qǐng jiǎn,"invitation card, written invitation",thiệp mời,6,她未请示上级擅自把所有这些请柬都发了出去.,tā wèi qǐngshì shàngjí shànzì bǎ suǒyǒu zhèxiē qǐngjiǎn dōu fā le chūqù,She issued all these invitations without any reference to her superiors.,nàng chưa xin chỉ thị thượng cấp tự tiện đem tất cả những thứ này thiệp mời đều phát ra .
3987,请教,qǐng jiào,"to ask for guidance, to consult",thỉnh giáo,6,我建议你请教律师。,wǒ jiànyì nǐ qǐngjiào lǜshī,I suggest you consult a lawyer.,ta đề nghị ngươi thỉnh giáo luật sư .
3988,请示,qǐng shì,to ask for instructions,xin chỉ thị,6,请示范机器的使用方法。,qǐng shìfàn jīqì de shǐyòng fāngfǎ,Please demonstrate how the machine works.,xin chỉ thị phạm máy móc phương pháp sử dụng .
3989,请帖,qǐng tiě,"invitation card, written invitation",thiếp mời,6,她设法弄到了招待会的请帖.,tā shèfǎ nòng dàoliǎo zhāodàihuì de qǐngtiě,She managed to wangle an invitation to the reception.,nàng nghĩ cách lấy được chiêu đãi sẽ thiếp mời .
3990,丘陵,qiū líng,hills,đồi núi,6,山山峰或丘陵，尤其用在山名的正式名字中,shān shānfēng huò qiūlíng yóuqí yòng zài shān míng de zhèngshì míngzi zhōng,A mountain or hill. Used especially as part of a proper name.,"núi sơn phong hoặc đồi núi , thực tế dùng tại tên núi chính thức tên trong"
3991,区分,qū fēn,"to differentiate, to find differing aspects",phân chia,6,你做的区分非常精细.,nǐ zuò de qūfēn fēicháng jīngxì,You are making very fine distinctions.,ngươi làm phân chia rất tinh tế .
3992,区域,qū yù,"area, region, district",khu vực,6,“Micro”这个词的意思是“小”，Microclimate＂是指小区域里的气候条件。,zhège cí de yìsi shì xiǎo shì zhǐ xiǎo qūyù lǐ de qìhòu tiáojiàn,"Micro means small, and microclimate refers to the climate conditions over a small area.","""Micro"" cái từ này có ý tứ là "" tiểu "",Microclimate"" là chỉ khu vực nhỏ trong khí hậu điều kiện ."
3993,屈服,qū fú,"to surrender, to yield",khuất phục,6,我们绝不会向侵略者屈服。,wǒmen jué bùhuì xiàng qīnlüèzhě qūfú,We will never yield to invaders.,chúng ta tuyệt sẽ không hướng kẻ xâm lược khuất phục .
3994,曲折,qū zhé,"complicated, winding",khúc chiết,6,这条路曲折地沿山坡通往上面。,zǒngtǒng de qìchē yóu mótuōchē jǐngwèi hù xíng,The road twists and turns up the side of the mountain.,con đường này khúc chiết xuôi theo triền núi thông hướng phía trên .
3995,驱逐,qū zhú,"to expel, to deport, banishment",khu trục,6,大使馆的两名随员已驱逐出境.,dàshǐguǎn de liǎng míng suíyuán yǐ qūzhúchūjìng,Two attaches at the embassy were expelled from the country.,đại sứ quán hai tên người đi theo đã trục xuất .
3996,渠道,qú dào,"irrigation ditch, medium or channel of communication",con đường,6,湍急的水道这样一股水流的渠道,tuānjí de shuǐdào zhèyàng yī gǔ shuǐliú de qúdào,The channel of such a current.,chảy xiết thủy đạo như vậy một cỗ dòng nước con đường
3997,取缔,qǔ dì,"to ban, to prohibit (publications, customs etc), to outlaw, to suppress (violators)",thủ tiêu,6,,,,
3998,曲子,qǔ zi,"poem for singing, tune, music",từ khúc,6,哼一哼你喜爱的曲子的开头几个小节.,hēng yī hēng nǐ xǐ'ài de qǔzi de kāitóu jǐge xiǎojié,Hum the opening bars of your favourite tune.,hừ hừ một cái ngươi vui yêu từ khúc mấy cái mở đầu tiểu tiết .
3999,趣味,qù wèi,"fun, interest, delight, taste, liking, preference",thú vị,6,我们在海滩上野餐，趣味无穷。,wǒmen zài hǎitān shàng yěcān qùwèi wúqióng,We had a lot of fun at the picnic on the beach.,"chúng ta đang trên bờ biển bữa ăn dã ngoại , thú vị vô tận ."
4000,圈套,quān tào,"trap, snare, trick",cái bẫy,6,他落入敌人设的圈套。,tā luòrù dírén shè de quāntào,He fell into a snare laid by his enemy.,hắn rơi vào địch nhân thiết cái bẫy .
4001,全局,quán jú,overall situation,toàn cục,6,,,,
4002,全力以赴,quán lì yǐ fù,"to do at all costs, to make an all-out effort",toàn lực ứng phó,6,他对模型飞机感兴趣之后就全力以赴了。,tā duì móxíng fēijī gǎnxìngqù zhīhòu jiù quánlìyǐfù le,When he became interested in model airplanes he went the whole hog.,hắn đối với mô hình máy bay cảm thấy hứng thú sau đó thì toàn lực ứng phó .
4003,权衡,quán héng,"to weigh, to consider, to assess, to balance, to trade-off",cân nhắc,6,他在脑中权衡着这些想法。,tā zài nǎo zhōng quánhéng zhe zhèxiē xiǎngfǎ,He weighed the ideas in his mind.,hắn ở đây trong đầu cân nhắc nhìn những ý nghĩ này .
4004,权威,quán wēi,"authority, authoritative, power and prestige",quyền uy,6,这是这一科的权威性课本.,zhè shì zhè yī kē de quánwēixìng kèběn,This is the standard textbook on the subject.,đây là cái này một khoa tính quyền uy môn học bản .
